fq,pc,prec,recall,f1_score,dimensions


simulazione_1

range 50
1, 1, 0.999251497005988, 0.818516247700797, 0.8998988877654196, True
1, 2, 0.9990439770554493, 0.8007662835249042, 0.8889834113143342, True
1, 3, 0.9958246346555324, 0.7332820906994619, 0.8446215139442231, True
1, 4, 0.9974160206718347, 0.8253741981468282, 0.9032761310452418, True
1, 5, 0.9714285714285714, 0.37777777777777777, 0.5439999999999999, True
10, 1, 1.0, 0.7938271604938272, 0.8850653819683414, True
10, 2, 1.0, 0.7636643571978445, 0.8659973810563073, True
10, 3, 1.0, 0.7218934911242604, 0.838487972508591, True
10, 4, 1.0, 0.794425087108014, 0.8854368932038834, True
10, 5, 1.0, 0.4842105263157895, 0.6524822695035462, True

rg100
1, 1, 0.9996388587937883, 0.9108259295820994, 0.953168044077135, True
1, 2, 1.0, 0.9013104013104013, 0.9480939048029291, True
1, 3, 0.9989642672190575, 0.833981841763943, 0.909048067860509, True
1, 4, 0.9991823385118561, 0.9139865370231862, 0.9546874999999999, True
1, 5, 1.0, 0.6557377049180327, 0.7920792079207921, True
10, 1, 1.0, 0.8736097067745198, 0.9325418240690772, True
10, 2, 1.0, 0.8448928121059268, 0.9159261790840738, True
10, 3, 1.0, 0.802013422818792, 0.8901303538175046, True
10, 4, 1.0, 0.8724961479198767, 0.9319070150174861, True
10, 5, 1.0, 0.6666666666666666, 0.8, True

filt_dup
1, 1, 1.0, 0.9722526469514421, 0.9859311366160681, True
1, 2, 1.0, 0.9731853906611189, 0.986410496719775, True
1, 3, 1.0, 0.9295085612630642, 0.9634666359340786, True
1, 4, 0.9997866439086835, 0.9721991701244813, 0.9857999368886083, True
1, 5, 1.0, 0.8241758241758241, 0.9036144578313253, True
10, 1, 1.0, 0.9307547169811321, 0.964135639597381, True
10, 2, 1.0, 0.9147360878910915, 0.9554696270425347, True
10, 3, 1.0, 0.8952122854561879, 0.9447092469018112, True
10, 4, 1.0, 0.9231268947596362, 0.9600270239837856, True
10, 5, 1.0, 0.8201058201058201, 0.9011627906976745, True